Event Name	Event date	Event Time	Location	
Business Excellence Awards	2017-02-10	08:25:28	Hall 2, Marina Bay Sands Convention Centre	
Business Excellence Awards	2018-03-30	15:55:37	Hall 2, Marina Bay Sands Convention Centre	
Career Practitioners Conference	2016-02-09	15:47:21	SMU Ngee Ann Kongsi Auditorium	
Career Practitioners Conference	2017-07-21	11:24:37	SMU Ngee Ann Kongsi Auditorium	
Career Practitioners Conference	2018-06-09	08:58:18	SMU Ngee Ann Kongsi Auditorium	
Caring Teacher Awards Presentation Ceremony	2015-05-04	12:37:40	Hall 4, MOE	
Caring Teacher Awards Presentation Ceremony	2016-08-09	11:41:03	Hall 4, MOE	
Caring Teacher Awards Presentation Ceremony	2017-10-15	06:03:24	Hall 4, MOE	
Casino Regulatory Authority (CRA)'s Workplan Seminar 	2016-08-27	07:54:34	Home Team Academy	
Casino Regulatory Authority (CRA)'s Workplan Seminar 	2017-12-15	09:36:51	Home Team Academy	
Casino Regulatory Authority (CRA)'s Workplan Seminar 	2018-08-17	12:25:30	Home Team Academy	
Charity Governance Conference	2016-09-11	09:38:45	Main Ballroom, Shangri La Hotel	
Charity Governance Conference	2017-08-17	06:27:12	Main Ballroom, Shangri La Hotel	
Charity Governance Conference	2018-07-21	09:48:50	Main Ballroom, Shangri La Hotel	
Charity Transparency and Governance Awards	2016-04-24	13:03:09	Hall 10, Suntec City Convention Centre	
Charity Transparency and Governance Awards	2017-05-18	07:04:48	Hall 10, Suntec City Convention Centre	
Charity Transparency and Governance Awards	2018-07-04	13:00:35	Hall 10, Suntec City Convention Centre	
Citi-SMU Financial Literacy Symposium 	2016-02-20	13:28:31	SMU Ngee Ann Kongsi Auditorium	
Citi-SMU Financial Literacy Symposium 	2017-06-19	10:17:51	SMU Ngee Ann Kongsi Auditorium	
Citi-SMU Financial Literacy Symposium 	2018-06-13	14:09:28	SMU Ngee Ann Kongsi Auditorium	
Closing Ceremony of National School Games	2015-07-19	08:58:12	Singapore Sports Stadium	
Closing Ceremony of National School Games	2016-05-06	09:57:31	Singapore Sports Stadium	
Closing Ceremony of National School Games	2017-10-07	15:04:14	Singapore Sports Stadium	
Commissioning Parade	2015-05-14	09:58:14	SAFTI Military Institute	
Commissioning Parade	2016-03-17	11:25:07	SAFTI Military Institute	
Commissioning Parade	2017-06-15	07:30:16	SAFTI Military Institute	
Credit Suisse Philanthropists Forum	2015-08-19	10:19:35	Hall 9, Suntec City Convention Centre	
Credit Suisse Philanthropists Forum	2016-02-23	16:48:32	Hall 9, Suntec City Convention Centre	
Credit Suisse Philanthropists Forum	2017-11-22	16:34:26	Hall 9, Suntec City Convention Centre	
Criminal Law Conference 	2016-03-28	07:53:59	NUS Faculty of Law	
Criminal Law Conference 	2017-12-07	15:45:55	NUS Faculty of Law	
Criminal Law Conference 	2018-01-07	07:38:33	NUS Faculty of Law	
Culture Academy's International Conference	2016-09-27	06:55:35	Hall 8, Singapore EXPO	
Culture Academy's International Conference	2017-02-10	16:41:04	Hall 8, Singapore EXPO	
Culture Academy's International Conference	2018-03-18	12:19:49	Hall 8, Singapore EXPO	
Digital Government Exchange	2016-04-05	06:01:28	Hall 6 and 7, Suntec City Convention Centre	
Digital Government Exchange	2017-11-15	07:23:01	Hall 6 and 7, Suntec City Convention Centre	
Digital Government Exchange	2018-09-14	15:34:28	Hall 6 and 7, Suntec City Convention Centre	
Early Childhood Conference	2016-12-20	07:24:13	Hall 2, Suntec City Convention Centre	
Early Childhood Conference	2017-11-17	16:57:24	Hall 2, Suntec City Convention Centre	
Early Childhood Conference	2018-03-19	14:20:13	Hall 2, Suntec City Convention Centre	
Emerging Enterprise Awards	2016-10-14	10:34:25	Hall 6, Singapore EXPO	
Emerging Enterprise Awards	2017-03-26	08:31:41	Hall 6, Singapore EXPO	
Emerging Enterprise Awards	2018-10-14	11:53:39	Hall 6, Singapore EXPO	
Energy Innovation Event	2016-01-26	13:17:49	Hall 7, Singapore EXPO	
Energy Innovation Event	2017-05-25	16:07:01	Hall 7, Singapore EXPO	
Energy Innovation Event	2018-03-20	07:09:07	Hall 7, Singapore EXPO	
Equal-Ark Gala Dinner	2015-11-16	12:03:45	Main Ballroom, Shangri La Hotel	
Equal-Ark Gala Dinner	2016-09-01	13:54:46	Main Ballroom, Shangri La Hotel	
Equal-Ark Gala Dinner	2017-07-13	08:16:26	Main Ballroom, Shangri La Hotel	
Ernst & Young Entrepreneur of the Year Awards Gala	2016-11-18	14:19:23	Hall 6, Marina Bay Sands Convention Centre	
Ernst & Young Entrepreneur of the Year Awards Gala	2017-04-29	13:04:11	Hall 6, Marina Bay Sands Convention Centre	
Ernst & Young Entrepreneur of the Year Awards Gala	2018-07-27	07:13:14	Hall 6, Marina Bay Sands Convention Centre	
Family Justice Practice Forum	2016-09-13	12:46:05	Singapore Supreme Court	
Family Justice Practice Forum	2017-09-23	07:13:23	Singapore Supreme Court	
Family Justice Practice Forum	2018-08-10	14:03:47	Singapore Supreme Court	
Future Lawyering Conference	2016-07-03	07:52:48	SMU School of Law	
Future Lawyering Conference	2017-06-28	13:37:49	SMU School of Law	
Future Lawyering Conference	2018-04-04	15:21:03	SMU School of Law	
Future of Law Conference	2016-02-26	12:09:05	Hall 1, Singapore EXPO	
Future of Law Conference	2017-12-11	15:15:47	Hall 1, Singapore EXPO	
Future of Law Conference	2018-03-01	15:16:42	Hall 1, Singapore EXPO	
Future of Manufacturing Summit	2016-01-10	07:37:05	Hall 2, Marina Bay Sands Convention Centre	
Future of Manufacturing Summit	2017-01-16	07:48:37	Hall 2, Marina Bay Sands Convention Centre	
Future of Manufacturing Summit	2018-07-07	09:16:04	Hall 2, Marina Bay Sands Convention Centre	
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2016-08-01	14:04:02	Main Auditorium, uTown NUS	
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2017-03-30	09:34:02	Main Auditorium, uTown NUS	
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2018-01-13	10:05:44	Main Auditorium, uTown NUS	
Home Team Academy Workplan Seminar	2015-04-20	11:05:57	Home Team Academy	
Home Team Academy Workplan Seminar	2016-02-02	15:10:33	Home Team Academy	
Home Team Academy Workplan Seminar	2017-06-26	14:09:48	Home Team Academy	
International Conference of Legal Regulators	2016-06-09	11:44:33	Hall 6, Suntec City Convention Centre	
International Conference of Legal Regulators	2017-10-13	06:23:07	Hall 6, Suntec City Convention Centre	
International Conference of Legal Regulators	2018-07-12	07:24:55	Hall 6, Suntec City Convention Centre	
International Family Law Conference	2016-01-02	10:00:43	Singapore Supreme Court	
International Family Law Conference	2017-01-04	16:20:58	Singapore Supreme Court	
International Family Law Conference	2018-04-02	11:24:29	Singapore Supreme Court	
International Trading Professional Conversion Programme Graduation Ceremony	2016-10-18	12:28:01	Main Auditorium, SUSS	
International Trading Professional Conversion Programme Graduation Ceremony	2017-12-25	09:37:48	Main Auditorium, SUSS	
International Trading Professional Conversion Programme Graduation Ceremony	2018-08-30	16:02:47	Main Auditorium, SUSS	
ITE Graduation Ceremony 	2015-08-23	11:54:06	Main Auditorium, ITE	
ITE Graduation Ceremony 	2016-06-18	10:58:50	Main Auditorium, ITE	
ITE Graduation Ceremony 	2017-12-18	11:12:43	Main Auditorium, ITE	
KPMG Procurement Ignite Summit 	2015-09-30	12:08:10	Main Ballroom, Orchard Hotel	
KPMG Procurement Ignite Summit 	2016-04-13	14:05:41	Main Ballroom, Orchard Hotel	
KPMG Procurement Ignite Summit 	2017-02-15	07:46:36	Main Ballroom, Orchard Hotel	
Law Awareness Weeks	2016-02-10	08:42:27	NUS Faculty of Law	
Law Awareness Weeks	2017-10-05	11:44:05	NUS Faculty of Law	
Law Awareness Weeks	2018-07-06	12:29:17	NUS Faculty of Law	
Law Society Neutral Evaluation & Determination Forum	2016-12-14	15:08:38	NUS Faculty of Law	
Law Society Neutral Evaluation & Determination Forum	2017-12-01	07:03:26	NUS Faculty of Law	
Law Society Neutral Evaluation & Determination Forum	2018-05-09	16:22:19	NUS Faculty of Law	
Legal & Accounting Connect Conference	2016-08-12	15:46:17	Hall 3, Singapore EXPO	
Legal & Accounting Connect Conference	2017-01-19	11:27:45	Hall 3, Singapore EXPO	
Legal & Accounting Connect Conference	2018-08-17	13:30:28	Hall 3, Singapore EXPO	
Legal Aid Bureau's Anniversary Dinner	2016-12-26	09:19:49	SMNS Hall 3	
Legal Aid Bureau's Anniversary Dinner	2017-12-22	09:44:28	SMNS Hall 3	
Legal Aid Bureau's Anniversary Dinner	2018-02-09	13:35:29	SMNS Hall 3	
MCCY Stakeholder Appreciation Dinner	2016-02-06	12:32:02	MCCY Main Auditorium	
MCCY Stakeholder Appreciation Dinner	2017-06-13	07:17:46	MCCY Main Auditorium	
MCCY Stakeholder Appreciation Dinner	2018-06-05	10:26:08	MCCY Main Auditorium	
MHA Scholarship and Sponsorship Presentation Ceremony	2015-07-23	15:17:19	Main Hall, MHA	
MHA Scholarship and Sponsorship Presentation Ceremony	2016-08-09	14:34:58	Main Hall, MHA	
MHA Scholarship and Sponsorship Presentation Ceremony	2017-05-08	10:37:24	Main Hall, MHA	
Minister's Awards Presentation Ceremony	2015-11-22	06:06:53	Main Ballroom, Shangri La Hotel	
Minister's Awards Presentation Ceremony	2016-11-06	12:28:51	Main Ballroom, Shangri La Hotel	
Minister's Awards Presentation Ceremony	2017-04-13	12:21:45	Main Ballroom, Shangri La Hotel	
Ministry of Home Affairs National Day Observance Ceremony 	2015-11-03	16:22:44	Main Hall, MHA	
Ministry of Home Affairs National Day Observance Ceremony 	2016-01-05	07:02:12	Main Hall, MHA	
Ministry of Home Affairs National Day Observance Ceremony 	2017-09-21	15:25:18	Main Hall, MHA	
Model United Nations Conference	2015-08-04	15:18:37	Hall 2, Marina Bay Sands Convention Centre	
Model United Nations Conference	2016-06-17	06:59:50	Hall 2, Marina Bay Sands Convention Centre	
Model United Nations Conference	2017-02-17	11:52:19	Hall 2, Marina Bay Sands Convention Centre	
Most Inspiring Tamil Teacher Award	2015-04-25	14:15:37	Main Ballroom, Marriot Hotel 	
Most Inspiring Tamil Teacher Award	2016-05-14	07:41:33	Main Ballroom, Marriot Hotel 	
Most Inspiring Tamil Teacher Award	2017-04-09	13:08:06	Main Ballroom, Marriot Hotel 	
Nanyang Polytechnic, School of Interactive and Digital Media (SIDM) Graduation Ceremony	2015-05-24	14:56:02	Main Auditorium, NYP	
Nanyang Polytechnic, School of Interactive and Digital Media (SIDM) Graduation Ceremony	2016-12-28	12:51:36	Main Auditorium, NYP	
Nanyang Polytechnic, School of Interactive and Digital Media (SIDM) Graduation Ceremony	2017-03-02	06:59:52	Main Auditorium, NYP	
National Camp Opening Ceremony	2015-10-19	07:21:42	Main Field, Singapore Sports School	
National Camp Opening Ceremony	2016-05-18	06:59:39	Main Field, Singapore Sports School	
National Camp Opening Ceremony	2017-11-20	13:02:08	Main Field, Singapore Sports School	
National Citizenship Ceremony	2016-01-15	16:39:43	Main Auditorium, ITE Central	
National Citizenship Ceremony	2017-09-22	09:28:42	Main Auditorium, ITE Central	
National Citizenship Ceremony	2018-04-23	08:24:29	Main Auditorium, ITE Central	
National Day Observance Ceremony	2016-03-06	16:11:14	Main Auditorium, ITE Central	
National Day Observance Ceremony	2017-09-02	08:26:46	Main Auditorium, ITE Central	
National Day Observance Ceremony	2018-07-30	08:18:12	Main Auditorium, ITE Central	
National Day Observance Ceremony in Schools	2015-05-06	06:29:05	All Schools	
National Day Observance Ceremony in Schools	2016-10-20	08:03:26	All Schools	
National Day Observance Ceremony in Schools	2017-09-16	12:40:29	All Schools	
National Day Parade	2015-06-20	09:08:00	Marina Bay Floating Platform	
National Day Parade	2016-03-17	16:37:11	Marina Bay Floating Platform	
National Day Parade	2017-03-01	08:10:33	Marina Bay Floating Platform	
National Day Rally	2015-06-03	06:09:17	Main Auditorium, ITE Central	
National Day Rally	2016-06-27	12:02:39	Main Auditorium, ITE Central	
National Day Rally	2017-02-26	14:52:19	Main Auditorium, ITE Central	
National Family Violence Networking System Conference (NFVNS)	2016-07-17	10:21:13	Hall 2, Suntec City Convention Centre	
National Family Violence Networking System Conference (NFVNS)	2017-03-11	06:13:19	Hall 2, Suntec City Convention Centre	
National Family Violence Networking System Conference (NFVNS)	2018-07-13	06:39:28	Hall 2, Suntec City Convention Centre	
National Health IT Summit	2016-01-21	06:19:50	Hall 4, Singapore EXPO	
National Health IT Summit	2017-10-25	12:28:32	Hall 4, Singapore EXPO	
National Health IT Summit	2018-05-05	09:08:28	Hall 4, Singapore EXPO	
National Institute of Education Teachers' Investiture Ceremony	2015-07-02	08:08:01	NIE Main Auditorium	
National Institute of Education Teachers' Investiture Ceremony	2016-04-21	15:27:24	NIE Main Auditorium	
National Institute of Education Teachers' Investiture Ceremony	2017-09-21	09:30:09	NIE Main Auditorium	
National Kindness Awards	2016-08-31	13:31:06	Main Auditorium, ITE Central	
National Kindness Awards	2017-05-23	15:26:37	Main Auditorium, ITE Central	
National Kindness Awards	2018-01-01	07:16:30	Main Auditorium, ITE Central	
National Life Saving Day	2015-05-26	16:56:23	Main Ballroom, Orchard Hotel	
National Life Saving Day	2016-02-15	06:48:24	Main Ballroom, Orchard Hotel	
National Life Saving Day	2017-09-21	07:46:29	Main Ballroom, Orchard Hotel	
National Schools Xinyao Singing and Songwriting Competition 	2015-06-19	12:26:52	Main Hall, Degao Primary School	
National Schools Xinyao Singing and Songwriting Competition 	2016-07-04	09:33:28	Main Hall, Degao Primary School	
National Schools Xinyao Singing and Songwriting Competition 	2017-08-30	15:51:38	Main Hall, Degao Primary School	
National University of Singapore Commencement Dinner	2015-06-12	08:43:11	Main Auditorium, uTown NUS	
National University of Singapore Commencement Dinner	2016-09-24	16:08:42	Main Auditorium, uTown NUS	
National University of Singapore Commencement Dinner	2017-07-02	12:31:39	Main Auditorium, uTown NUS	
National Youth Achievement Award Ceremony	2016-01-07	11:17:55	MCCY Main Auditorium	
National Youth Achievement Award Ceremony	2017-06-01	11:10:31	MCCY Main Auditorium	
National Youth Achievement Award Ceremony	2018-06-10	06:06:15	MCCY Main Auditorium	
NIE Teachers' Investiture Ceremony	2015-04-04	07:44:02	NIE Main Auditorium	
NIE Teachers' Investiture Ceremony	2016-11-14	09:29:01	NIE Main Auditorium	
NIE Teachers' Investiture Ceremony	2017-07-02	12:38:52	NIE Main Auditorium	
NTU Alumni Night	2015-06-05	14:12:12	NTU Almuni Club	
NTU Alumni Night	2016-03-19	11:05:34	NTU Almuni Club	
NTU Alumni Night	2017-06-14	11:55:03	NTU Almuni Club	
NTU Leadership Summit	2016-07-18	09:48:28	Main Auditorium, NTU	
NTU Leadership Summit	2017-04-30	09:49:04	Main Auditorium, NTU	
NTU Leadership Summit	2018-10-04	14:48:28	Main Auditorium, NTU	
NUS Leadership Forum	2016-10-29	14:32:00	Main Auditorium, uTown NUS	
NUS Leadership Forum	2017-12-26	14:24:57	Main Auditorium, uTown NUS	
NUS Leadership Forum	2018-01-30	06:42:41	Main Auditorium, uTown NUS	
NUS-SMU Criminal Justice Conference	2016-07-30	14:11:35	NUS Faculty of Law	
NUS-SMU Criminal Justice Conference	2017-10-23	13:42:06	NUS Faculty of Law	
NUS-SMU Criminal Justice Conference	2018-08-30	06:16:54	NUS Faculty of Law	
Opening Ceremony of Inter-School Games	2015-06-08	06:24:38	Marina Bay Floating Platform	
Opening Ceremony of Inter-School Games	2016-06-19	11:52:23	Marina Bay Floating Platform	
Opening Ceremony of Inter-School Games	2017-07-27	13:40:57	Marina Bay Floating Platform	
Opening Ceremony of the National School Games	2015-04-09	11:02:03	Singapore Sports Stadium	
Opening Ceremony of the National School Games	2016-08-19	14:33:02	Singapore Sports Stadium	
Opening Ceremony of the National School Games	2017-08-19	09:53:21	Singapore Sports Stadium	
Oracle Impact Innovation Summit	2015-11-20	12:57:48	Hall 5, Marina Bay Sands Convention Centre	
Oracle Impact Innovation Summit	2016-06-29	12:37:39	Hall 5, Marina Bay Sands Convention Centre	
Oracle Impact Innovation Summit	2017-11-11	06:11:11	Hall 5, Marina Bay Sands Convention Centre	
Patron of the Arts Awards	2016-02-22	08:10:47	PACS Main Hall	
Patron of the Arts Awards	2017-04-16	12:11:33	PACS Main Hall	
Patron of the Arts Awards	2018-02-01	11:33:58	PACS Main Hall	
Peter Lim Scholarship Award Ceremony	2016-07-17	15:00:25	NIE	
Peter Lim Scholarship Award Ceremony	2017-07-10	15:21:13	NIE	
Peter Lim Scholarship Award Ceremony	2018-02-16	15:49:27	NIE	
Police Workplan Seminar	2015-12-19	07:29:41	Home Team Academy	
Police Workplan Seminar	2016-06-26	14:03:14	Home Team Academy	
Police Workplan Seminar	2017-07-08	16:58:40	Home Team Academy	
President's Young Talents Official Opening	2016-01-22	12:49:40	Main Ballroom, Copthrone King's Hotel Singapore	
President's Young Talents Official Opening	2017-09-11	10:17:04	Main Ballroom, Copthrone King's Hotel Singapore	
President's Young Talents Official Opening	2018-06-17	06:15:08	Main Ballroom, Copthrone King's Hotel Singapore	
Project Management Institute Singapore Chapter Project of the Year Award Dinner	2016-05-02	07:37:56	Hall 5, Singapore EXPO	
Project Management Institute Singapore Chapter Project of the Year Award Dinner	2017-11-30	08:17:02	Hall 5, Singapore EXPO	
Project Management Institute Singapore Chapter Project of the Year Award Dinner	2018-02-20	15:39:45	Hall 5, Singapore EXPO	
PSC Scholarships Award Ceremony	2016-11-19	07:58:18	Home Team Academy	
PSC Scholarships Award Ceremony	2017-01-11	16:03:57	Home Team Academy	
PSC Scholarships Award Ceremony	2018-03-23	11:34:03	Home Team Academy	
Public Service Conference	2016-11-12	10:32:25	Home Team Academy	
Public Service Conference	2017-11-03	16:25:51	Home Team Academy	
Public Service Conference	2018-06-17	12:30:11	Home Team Academy	
Public Service Engineering Conference	2016-10-24	08:06:40	Home Team Academy	
Public Service Engineering Conference	2017-05-26	07:38:06	Home Team Academy	
Public Service Engineering Conference	2018-10-16	16:59:00	Home Team Academy	
Public Service Leadership Dinner	2016-02-15	06:44:10	Home Team Academy	
Public Service Leadership Dinner	2017-06-28	15:53:46	Home Team Academy	
Public Service Leadership Dinner	2018-02-26	11:58:29	Home Team Academy	
Quality and Standards Conference 	2016-04-21	12:02:47	Hall 7, Singapore EXPO	
Quality and Standards Conference 	2017-10-31	09:30:32	Hall 7, Singapore EXPO	
Quality and Standards Conference 	2018-01-05	06:35:02	Hall 7, Singapore EXPO	
Regional Insolvency Conference 	2016-02-21	11:56:08	NUS Faculty of Law	
Regional Insolvency Conference 	2017-09-24	08:46:34	NUS Faculty of Law	
Regional Insolvency Conference 	2018-03-10	13:18:16	NUS Faculty of Law	
Republic of Singapore Air Force (RSAF) Day	2015-06-01	14:31:07	Paya Lebar Air Base	
Republic of Singapore Air Force (RSAF) Day	2016-11-16	15:09:32	Paya Lebar Air Base	
Republic of Singapore Air Force (RSAF) Day	2017-10-01	08:55:58	Paya Lebar Air Base	
River Hangbao Hackathon	2016-09-05	06:07:48	Hall 8, MASS	
River Hangbao Hackathon	2017-02-04	14:09:37	Hall 8, MASS	
River Hangbao Hackathon	2018-10-12	14:55:47	Hall 8, MASS	
School of Law Commencement Ceremony	2015-12-26	08:45:37	SMU School of Law	
School of Law Commencement Ceremony	2016-10-19	07:24:42	SMU School of Law	
School of Law Commencement Ceremony	2017-10-19	10:22:45	SMU School of Law	
Schools Work Plan Seminar	2015-08-20	13:17:20	Hall 3, MOE	
Schools Work Plan Seminar	2016-08-05	14:29:33	Hall 3, MOE	
Schools Work Plan Seminar	2017-09-01	09:12:12	Hall 3, MOE	
Score Appreciation Awards Ceremony	2015-12-08	13:06:07	Hall 3, MOE	
Score Appreciation Awards Ceremony	2016-02-28	13:55:56	Hall 3, MOE	
Score Appreciation Awards Ceremony	2017-12-16	08:25:58	Hall 3, MOE	
Security Association Singapore's Annual Gala	2016-12-25	10:53:35	Hall 2, Suntec City Convention Centre	
Security Association Singapore's Annual Gala	2017-10-17	06:49:09	Hall 2, Suntec City Convention Centre	
Security Association Singapore's Annual Gala	2018-04-08	10:04:57	Hall 2, Suntec City Convention Centre	
Sharity Day	2015-04-15	06:33:13	Singapore Sports Stadium	
Sharity Day	2016-04-06	10:05:24	Singapore Sports Stadium	
Sharity Day	2017-01-27	08:31:35	Singapore Sports Stadium	
Shell's the Bright Ideas Challenge 	2015-09-05	06:12:43	Shangri La Hotel, Dining Room	
Shell's the Bright Ideas Challenge 	2016-11-17	08:56:35	Shangri La Hotel, Dining Room	
Shell's the Bright Ideas Challenge 	2017-01-17	14:16:00	Shangri La Hotel, Dining Room	
SIM University Convocation Ceremony	2015-08-15	08:07:36	Main Hall, SIM	
SIM University Convocation Ceremony	2016-07-19	14:00:28	Main Hall, SIM	
SIM University Convocation Ceremony	2017-09-08	07:42:02	Main Hall, SIM	
Sinda Excellence Awards	2015-11-10	07:08:40	Hall 2, Marina Bay Sands Convention Centre	
Sinda Excellence Awards	2016-04-05	06:28:19	Hall 2, Marina Bay Sands Convention Centre	
Sinda Excellence Awards	2017-10-20	12:59:52	Hall 2, Marina Bay Sands Convention Centre	
Singapore Armed Forces (SAF) Day	2015-11-20	11:02:17	SAFTI Military Institute	
Singapore Armed Forces (SAF) Day	2016-03-08	16:20:16	SAFTI Military Institute	
Singapore Armed Forces (SAF) Day	2017-05-11	13:22:57	SAFTI Military Institute	
